Timestamp,language,problem
10/15/2024 3:40:19,Scratch,Rolling Ball
10/15/2024 4:41:20,Python,"Hello,World"
10/15/2024 8:16:02,C,Tideman
10/15/2024 10:27:11,Python,Tideman
10/15/2024 10:28:45,Python,Mario
10/15/2024 10:29:34,Python,Credit
10/15/2024 10:33:34,Python,Filter
10/15/2024 11:02:34,Python,Filter
10/15/2024 11:10:145,Python,Tideman
10/15/2024 11:12:56,Python,"Hello,World"
10/15/2024 11:15:34,C,Mario
10/15/2024 11:20:34,Python,Scrabble
10/15/2024 11:22:34,Python,Speller
10/15/2024 11:24:30,Python,Scratch
10/15/2024 11:25:22,C,Scratch
10/15/2024 11:26:47,Python,"Hello, World"
10/15/2024 11:28:57,Python,Mario
10/15/2024 11:29:36,Python,Runoff
